Parameter,Category,Value,Unit,Volume_WinRate,Premium_WinRate,Brand_WinRate,Balanced_WinRate,Revenue_Spread,Diversity_Score
QUALITY_WEIGHT_BUDGET,Segment Weights,22,pts,0.0,0.0,100.0,0.0,1.028,0.000
QUALITY_WEIGHT_BUDGET,Segment Weights,26,pts,0.0,0.0,100.0,0.0,1.028,0.000
QUALITY_WEIGHT_BUDGET,Segment Weights,30,pts,0.0,0.0,100.0,0.0,1.028,0.000
QUALITY_WEIGHT_BUDGET,Segment Weights,35,pts,0.0,0.0,100.0,0.0,1.028,0.000
QUALITY_WEIGHT_BUDGET,Segment Weights,40,pts,0.0,0.0,100.0,0.0,1.028,0.000
QUALITY_WEIGHT_GENERAL,Segment Weights,20,pts,0.0,0.0,100.0,0.0,1.028,0.000
QUALITY_WEIGHT_GENERAL,Segment Weights,24,pts,0.0,0.0,100.0,0.0,1.028,0.000
QUALITY_WEIGHT_GENERAL,Segment Weights,28,pts,0.0,0.0,100.0,0.0,1.028,0.000
QUALITY_WEIGHT_GENERAL,Segment Weights,32,pts,0.0,0.0,100.0,0.0,1.028,0.000
QUALITY_WEIGHT_GENERAL,Segment Weights,36,pts,0.0,0.0,100.0,0.0,1.028,0.000
QUALITY_WEIGHT_GENERAL,Segment Weights,40,pts,0.0,0.0,100.0,0.0,1.028,0.000
QUALITY_WEIGHT_GENERAL,Segment Weights,45,pts,0.0,0.0,100.0,0.0,1.028,0.000
QUALITY_WEIGHT_ENTHUSIAST,Segment Weights,30,pts,0.0,0.0,100.0,0.0,1.028,0.000
QUALITY_WEIGHT_ENTHUSIAST,Segment Weights,35,pts,0.0,0.0,100.0,0.0,1.028,0.000
QUALITY_WEIGHT_ENTHUSIAST,Segment Weights,40,pts,0.0,0.0,100.0,0.0,1.028,0.000
QUALITY_WEIGHT_ENTHUSIAST,Segment Weights,45,pts,0.0,0.0,100.0,0.0,1.028,0.000
QUALITY_WEIGHT_ENTHUSIAST,Segment Weights,50,pts,0.0,0.0,100.0,0.0,1.028,0.000
QUALITY_WEIGHT_ENTHUSIAST,Segment Weights,55,pts,0.0,0.0,100.0,0.0,1.028,0.000
